question,answer_agent,answer_orig,tool_calls,cost,document
Can the final homework version be different from what I see now?,"Yes — the final homework version can be different from what you see now, especially if the homework is still marked as **`[DRAFT]`**.

The FAQ says:

- The homework is only ready when:
  - the homework form is open on the course platform, and
  - the title does **not** contain `[DRAFT]`
- Until then, the content can still change
- Working on it early is **at your own risk**

So if it’s still in draft, the final version may change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""final homework version different from what I see now""}'}]",0.0015135,96286b4be4
When is the next run of the course scheduled for?,The next run of the course is scheduled for **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next run of the course scheduled for""}'}]",0.0012060,bd31146b0e
Do you know when this course will be offered again?,The course is scheduled to be offered again in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""when will this course be offered again next offering schedule future course offerings""}'}]",0.00079575,bd31146b0e
What’s the next time this course will start?,The next time the course will be offered is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course start date next time course will start""}'}]",0.00089325,bd31146b0e
When can I expect the course to be available next?,The course is expected to be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""course available next when can I expect the course to be available next""}'}]",0.00117375,bd31146b0e
Is there a date for the upcoming course offering?,"I couldn’t find a FAQ entry with the exact start date for the upcoming course offering.

What the FAQ does say is that:
- the course materials are available and you can start anytime,
- deadlines are listed on the course management platform,
- registration is mainly to gauge interest before the start date.

If you want, I can help look for the course platform link or any FAQ entry that mentions the next cohort more specifically.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""upcoming course offering date""}'}]",0.0012465,bd31146b0e
Where can I find the course lectures or videos for this zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant **videos linked at the top**.

If you’re unsure, follow the **GitHub repo first**, since it’s usually kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""course lectures videos zoomcamp where find lectures videos""}'}]",0.0013215,31456f4b5f
What’s the best place to start if I’m looking for the lesson videos?,"The best place to start is the **LLM Zoomcamp GitHub repository**:

- Open the course repo: https://github.com/DataTalksClub/llm-zoomcamp
- Go to the relevant **lesson folder**
- Each lesson page has the **video links at the top**

If you’re unsure, use the GitHub repo first rather than the YouTube playlist, because it stays updated more reliably.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""lesson videos where to find start course videos FAQ""}'}]",0.001305,31456f4b5f
"Are the videos linked somewhere in the repo, or do I need to search YouTube?","Yes — the videos are linked in the course repo.

Use the **LLM Zoomcamp GitHub repository** as the main entry point, then open the lesson folders; each lesson page has the relevant videos linked at the top. The repo is also the preferred place to follow because it’s easier to keep updated than a YouTube playlist.

Repo: https://github.com/DataTalksClub/llm-zoomcamp

If you want, I can also point you to the exact lesson folder for the video you’re looking for.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""videos linked in repo or YouTube search FAQ""}'}]",0.00150825,31456f4b5f
How do I get to the lecture recordings for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point.

- Open the **lesson folders** in the repo.
- Each lesson page has the relevant **videos linked at the top**.
- If anything looks out of date, trust the **GitHub repo first** rather than the YouTube playlist, since it’s easier to keep updated.

If you want, I can also point you to the repo structure for a specific lesson.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""lecture recordings each lesson course recordings access where to find lecture recordings lessons""}'}]",0.00138675,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest course videos?,"Use the **GitHub repo as the main source** for the latest course videos and materials. The FAQ says the lesson pages in the repo link to the relevant videos, and **the repo is easier to keep updated than the YouTube playlist**.

So: **check the GitHub repo first**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""GitHub repo YouTube playlist latest course videos""}'}]",0.00123825,31456f4b5f
