question,document
"For a simple automation like sending a Slack alert when something happens, would Zapier or n8n be a better fit than Kestra?",bfe5502c30
Why does ChatGPT sometimes invent Kestra plugin fields like bucket or name in flow YAML?,93a3e8b98c
How can I check whether the YAML a generic AI gave me actually matches the Kestra plugin docs?,93a3e8b98c
What is the correct way to write a GCS Upload step in Kestra instead of using bucket and name?,93a3e8b98c
"For LoadFromGcs, why is destinationTable used instead of separate projectId, dataset, and table fields?",93a3e8b98c
How do I avoid broken Kestra YAML when the plugin version I’m using is different from the one the AI seems to know?,93a3e8b98c
Why do we need to track token usage in Kestra flows when calling an LLM?,a4adc70f41
How does monitoring tokens help with cost control in scheduled or looping AI workflows?,a4adc70f41
Can token counts be used to improve prompts and reduce the number of tokens used?,a4adc70f41
What’s the point of adding alerts or limits for token usage in a long-running Kestra job?,a4adc70f41
How can a Kestra task read token usage from an LLM response and show it in logs or dashboards?,a4adc70f41
How can I get rid of the Docker Desktop error about a path under /tmp not being shared from the host when I start Kestra?,dd8b4c9fda
What should I change in Docker Desktop if a container fails to mount /tmp/kestra-wd with a 'mounts denied' message?,dd8b4c9fda
I keep seeing 'The path /tmp/... is not shared from the host' in Docker — where do I add that folder so Kestra can run?,dd8b4c9fda
Is there a Docker Desktop setting that lets me allow access to /tmp so docker compose up works again?,dd8b4c9fda
"After I fix the file sharing path in Docker Desktop, do I need to restart anything before rerunning Kestra?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to upload as my submission if I built everything in the Kestra UI?",f29f622684
"Do I need to put the Kestra flows into a public GitHub repo, and is that what the homework link should point to?",f29f622684
"If I only changed flows inside Kestra, what files should I commit for the homework?",f29f622684
"Should I also include any scripts that the Kestra flows run, or are the flow YAML files enough?",f29f622684
"Do I need a README for the Module 3 homework repo, or is it fine to submit just the flow files?",f29f622684
Why am I getting a JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON instead of wrapping it in code fences or adding extra text?,a3c7e1b4f9
Is there a way to force OpenAI chat completions to output a JSON object so json.loads won't fail?,a3c7e1b4f9
What should I put in the prompt to make the LLM give me exactly a JSON object with 5 questions and nothing else?,a3c7e1b4f9
Do other LLM providers have a setting like OpenAI response_format to reliably get JSON output?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in the eval notebook?,b8f2d6a30c
What can I do if Codespaces runs out of memory while loading the embedding model and notebook state together?,b8f2d6a30c
"Is there a smaller sentence-transformers model I can use for the evaluation task, and will it affect my scores?",b8f2d6a30c
How do I avoid the memory issue by moving the embedding step out of Jupyter and saving the vectors first?,b8f2d6a30c
Can I fix the crash by batching the ground-truth embeddings and clearing memory with del and gc.collect()?,b8f2d6a30c
"I'm hitting Gemini rate limits while building the ground-truth set — I added a 4 second sleep, but it still fails in a long loop. Why does that happen?",c1e9f4b820
What are some cheaper or easier alternatives if free Gemini keeps getting rate-limit errors during evaluation data generation?,c1e9f4b820
Is there a way to keep using a thread pool without getting blocked by API limits all the time?,c1e9f4b820
How can I avoid losing all my progress if the ground-truth generation stops halfway because of rate limits?,c1e9f4b820
"For this evaluation task, would it make sense to switch from Gemini free tier to something like GPT-4o mini or Groq?",c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
"Why am I getting ""The specified module could not be found"" for torch\lib\fbgemm.dll in Python on Windows?",15e931476c
Do I need to install Visual C++ Redistributable to solve the fbgemm.dll dependency error?,15e931476c
"Will installing Visual Studio help with the PyTorch fbgemm.dll error on Windows, or is VS Code enough?",15e931476c
What’s the easiest way to resolve the torch fbgemm.dll import issue in Windows Python 3.10?,15e931476c
"Why am I getting ""could not translate host name postgres to address"" when I run prep.py, and what should I set in the .env file?",4b65d5542d
"I see a psycopg2 OperationalError saying the host ""postgres"" can't be resolved. How do I fix the database host setting?",4b65d5542d
"When I launch python prep.py, it fails with a Postgres hostname error. What value should POSTGRES_HOST have?",4b65d5542d
"How do I stop the ""No such host is known"" error for postgres during prep.py, and what change is needed in .env?",4b65d5542d
My prep.py command crashes with an OperationalError about postgres host resolution. What should I update in the environment config?,4b65d5542d
How do I make pandas show the full text in a column instead of cutting it off with dots?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the whole Explanation text from the LLM judge?",641aedbbf5
What pandas setting should I change to stop column values from being truncated after 50 characters?,641aedbbf5
Is there a quick way to display the entire content of a long text column in pandas?,641aedbbf5
"Why does pandas shorten my Explanation column, and how can I turn off that limit?",641aedbbf5
How do I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to turn each vector in a Pandas Series into a unit vector?,5039707c1a
Can I use NumPy and apply to normalize a column of vectors in Pandas?,5039707c1a
How would I create a new DataFrame column with normalized versions of an existing vector column?,5039707c1a
Is there a simple lambda-based way to divide each vector by its norm in Pandas?,5039707c1a
How can I get the 75th percentile of a pandas DataFrame column?,b4c8ac5a0c
What’s the pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How do I find the percentile value of a column in pandas?,b4c8ac5a0c
Is there a simple method in pandas to calculate quantiles for a DataFrame column?,b4c8ac5a0c
How can I use pandas to get the 75% percentile without doing it manually?,b4c8ac5a0c
"How do I force-delete every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What’s the quickest command to remove all Docker images at once from my machine?,66ccbb7da0
How can I delete every Docker volume using the command line?,66ccbb7da0
"Is there a simple way to clean up all containers, images, and volumes in Docker from terminal commands?",66ccbb7da0
"What terminal commands should I run to wipe out all Docker resources like containers, images, and volumes?",66ccbb7da0
"How can I make Streamlit let a user give feedback only once per submission, like just +1 or -1?",2e729f1271
Why does `st.session.submitted` keep getting set back to `True` after I press one of the feedback buttons?,2e729f1271
"In Streamlit, how do I keep the feedback buttons disabled when `st.session.submitted` is `False`?",2e729f1271
What’s the fix for `st.session.submitted` being reassigned even after one feedback option is clicked?,2e729f1271
Is there a known solution for the session state issue where feedback can be submitted more than once in Streamlit?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when starting my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check first if my Streamlit container fails with an OCI runtime create error in docker-compose?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app that I want to run with docker-compose?,e8df9f0d12
How can I fix the issue where docker-compose can't find the `streamlit` command inside the container?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I use to rebuild and run everything again?",e8df9f0d12
"Is the capstone supposed to be done alone, or can we submit it as a team?",0fab61eca2
Can I work with other students on a capstone idea if each of us has our own part?,0fab61eca2
"If we build one shared system, is that okay for the capstone as long as our pieces are separate?",0fab61eca2
Do all capstone submissions need their own repo and independently evaluable work?,0fab61eca2
What happens if my project depends too much on other people’s work and can’t be graded separately?,0fab61eca2
"For the capstone project, do we actually need to turn in two different projects, or is one submission enough?",d5fc98925d
What’s the difference between attempt 1 and attempt 2 in the project submission timeline?,d5fc98925d
"If my first project submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"If I miss the first submission window, am I still allowed to submit during the second one?",d5fc98925d
"If I submit a project but don’t review three classmates, does that submission still count for certification?",d5fc98925d
"Can I use the math Kaggle LLM competition as my capstone project, or is the capstone supposed to be separate?",e892d44e42
"If I join the math Kaggle LLM competition with a team, does that still count toward the capstone requirement?",e892d44e42
"Is the capstone in this course an individual project, or can it be done in a group like the competition?",e892d44e42
"Does participating in the competition automatically fulfill the capstone, or do I still need to submit something else?",e892d44e42
Can I team up for the math Kaggle LLM competition and have that accepted as my capstone?,e892d44e42
How will my capstone project be graded in this course?,9a2e2d2008
Who checks the capstone submission after I turn it in?,9a2e2d2008
"Do I have to review other students’ projects too, or is it only my own?",9a2e2d2008
What happens if I skip grading the peer projects assigned to me?,9a2e2d2008
Is the final capstone score based on all reviewer scores or some kind of average?,9a2e2d2008
"After the deadline closes, how are the capstone projects assigned to each participant for review and grading?",eae0fb50aa
"Will we get the review assignments right away after the submission deadline, and in what format will they be shared?",eae0fb50aa
How many projects does each person have to review once the capstone deadline is over?,eae0fb50aa
Is the project assignment list sent as a spreadsheet or through some other system after submissions end?,eae0fb50aa
At what point do we find out which 3 capstone projects we need to grade?,eae0fb50aa
"I already turned in my capstone project, so why am I not seeing anything to review yet?",a8a7fef016
"After the submission deadline ends, do projects get assigned automatically for grading?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or is the assignment random?",a8a7fef016
Why is the review page empty even though I’ve submitted my own project?,a8a7fef016
Do I have to wait until the project list is released before I can start reviewing other submissions?,a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with examples or suggestions for LLM Zoomcamp project datasets?,e76a70cde3
I'm trying to start the capstone project — where do I find ideas and guidelines?,e76a70cde3
Can you point me to a page that lists possible project ideas and datasets?,e76a70cde3
What’s the best place to check for inspiration and tips for the project?,e76a70cde3
"Do I really need to use Airflow, Mage, or Kestra in the capstone project, or is that optional?",d4f7c08ea1
"If I just write a Python script to ingest and index the data, is that enough for full points on the ingestion pipeline part?",d4f7c08ea1
"Would a Jupyter notebook that does the same ingestion steps count, and if so, how many points is it worth?",d4f7c08ea1
When does it actually make sense to add an orchestrator to the project instead of just using a script?,d4f7c08ea1
Is it a bad idea to include an orchestration tool only to get the project criterion points?,d4f7c08ea1
How can I evaluate a recommender-style RAG project when I don’t have an obvious ground-truth answer set?,9b0e2d6a47
"What’s a good way to create synthetic evaluation data for a retrieval/recommender RAG, and what metrics should I use afterward?",9b0e2d6a47
"Can I use an LLM as a judge to score my end-to-end RAG results, and what kind of rubric works best?",9b0e2d6a47
"For ranking-based RAG systems where several items could be acceptable, is NDCG a better metric than hit rate?",9b0e2d6a47
How would I test whether my retriever returns the right item at the top if I only have item descriptions and user queries are not prewritten?,9b0e2d6a47
What chunking approach should I use for a really large corpus with long PDFs and lots of paragraphs?,6f2a8b3d10
"Should I try to build the perfect chunker first, or is there a better way to iterate on chunking?",6f2a8b3d10
How do I chunk long docs for retrieval without losing important exact wording from legal or financial text?,6f2a8b3d10
"Is it worth adding LLM-generated summaries to chunks, and how would that help search?",6f2a8b3d10
What tools do you recommend for turning PDFs into clean markdown before I split them into chunks?,6f2a8b3d10
"When you say the project has to be reproducible, does that mean a reviewer should be able to run it from the repo without my secrets?",e5d8a2c761
Do I need to put my API keys or hosted service credentials in the GitHub repo for the reviewer to test the capstone?,e5d8a2c761
What should I include so someone can rebuild the search index and dataset setup on their own machine?,e5d8a2c761
"Is it enough to add a .env.example file and keep the real .env out of git, or do I need to share actual values too?",e5d8a2c761
What’s the best way to make sure the project is easy for reviewers to run without spending a lot of credits?,e5d8a2c761
"Can I do the homework and capstone in JavaScript, or is Python basically required?",ea815eb858
"If I build the project in Go, will that be accepted, or should I stick with Python?",ea815eb858
"Are languages like TypeScript, Rust, Java, Scala, C#, or R allowed for the final project?",ea815eb858
What kind of README do I need if I don't use Python for the homework or capstone?,ea815eb858
"If I submit a non-Python stack, what do I have to include so the reviewer can run and check it easily?",ea815eb858
Where can I check out old LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous LLM Zoomcamp project submissions?,930286278d
Can I see examples of past capstone projects from LLM Zoomcamp somewhere?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp projects listed?,930286278d
Do you have links to earlier LLM Zoomcamp project repos so I can judge the expected level?,930286278d
"Do I have to announce my capstone project idea before I start, or can I just begin working on it?",897a350476
"Is there any need to reserve a project topic in the LLM Zoomcamp capstone, or is it first come first served?",897a350476
"Can I ask for feedback on my capstone idea somewhere, or should I keep it private until submission?",897a350476
"Are projects with similar ideas allowed in the capstone, or does my topic have to be unique?",897a350476
Where can I look at past LLM Zoomcamp capstone projects to get a sense of the expected scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is it okay to use a CLI, Slack app, or notebook as the interface for the project?",7318a90b14
"Do I have to make the project available through a web app, or can I choose any front end?",7318a90b14
Are there any strict rules about how the end user should access the capstone project?,7318a90b14
"Will the course show how to build custom interfaces like bots or apps, or do I need to handle that myself?",7318a90b14
What tool should I use to pull text out of PDFs for my RAG app?,d8b28c47a0
"If my files are scanned PDFs with no text layer, what OCR option should I try?",d8b28c47a0
Is there a recommended library in the course for converting documents to Markdown or JSON?,d8b28c47a0
What are some good ways to extract text from different document formats before chunking them?,d8b28c47a0
Should I test a few PDF extraction tools on my own docs to see which one gives the cleanest output?,d8b28c47a0
"Can I reuse this workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to take the dlt workshop ideas and apply them to another Zoomcamp project like MLOps?,d850a0e7ea
"Since dlt is open-source, does that mean I’m allowed to build on top of the workshop materials for my own work?",d850a0e7ea
"Can I ask questions about using this workshop content directly in my project, or is that not supported?",d850a0e7ea
Am I free to share or adapt the workshop material for other data-loading projects outside this course?,d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt pipeline with filesystem and duckdb?,6bceeebf04
I want to start a fresh dlt setup for cloud files — what's the init command?,6bceeebf04
How do I begin a dlt project using the filesystem source and DuckDB destination?,6bceeebf04
What’s the easiest way to bootstrap a dlt project for loading cloud data?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name, but `db.open_table(""notion_pages___homework"")` still fails — what else should I update?",0407213397
What does the `Please first call db.create_table(...)` error mean in this dlt workshop code?,0407213397
"If my pipeline is still looking for `employee_handbook`, where should I replace it with `homework`?",0407213397
How do I fix the issue where the homework table isn’t found after running the Notion ingestion pipeline?,0407213397
Why am I getting FileNotFoundError saying notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
What table name should I use in line 3 if db.open_table is failing for notion_pages___homework?,e95bfafc0e
"How do I fix the error about calling db.create_table(notion_pages___homework, data) first in my Notion pages homework code?",e95bfafc0e
Is there a specific table I need to open for the homework instead of the one I used in main()?,e95bfafc0e
My script crashes with FileNotFoundError for notion_pages___homework — what should the db.open_table line look like?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a method to list all tables in the db?,e394e6f738
How do I see the table names in my database?,e394e6f738
What should I call to get all tables from the database?,e394e6f738
Can I use something like db.table_names() to view the tables?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are they missing for now?",cd19f122f3
"Can I use DLT to load data into ClickHouse or StarRocks, or is that not available yet?",cd19f122f3
"Are there any built-in DLT connectors for ClickHouse and StarRocks, or would I need to build one myself?",cd19f122f3
"If DLT doesn’t connect to ClickHouse or StarRocks today, is the project open to community contributions for those?",cd19f122f3
Is there a roadmap or community effort to add ClickHouse and StarRocks connectors to DLT?,cd19f122f3
Why am I getting a 401 Unauthorized error when my notebook calls Notion's search API?,0dfba07ace
What should I check if the notebook says it has no secret access to api.notion.com/v1/search?,0dfba07ace
Could this Notion API authorization error be caused by a bad or expired token?,0dfba07ace
How do I fix a Notebook access issue with Notion when the request gets denied?,0dfba07ace
What are the main things to verify when the Notion API keeps rejecting my notebook request?,0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how can I force the newer one?",4b30b918bc
Is there a way to install requests 2.32.3 straight from GitHub instead of getting the older pip version?,4b30b918bc
What command should I run if I need the exact requests release that fixes the lancedb dependency issue?,4b30b918bc
I’m seeing a 401 Client Error during setup — could that mean my key is wrong or not allowed yet?,4b30b918bc
How do I install requests from the source zip on GitHub so I get v2.32.3 exactly?,4b30b918bc
