question,answer_llm,answer_orig,document
When does homework submission actually close — at the deadline or only when the form is shut?,"Homework submission closes only when the form is shut, not exactly at the listed deadline. If the form is still open, you can still submit even after the deadline has passed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
"If I missed the listed due date, is it still okay to submit while the form remains open?","Yes. As long as the submission form is still open, you can still submit even if the listed due date has passed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
Should I submit my homework after the deadline as long as the form hasn’t been closed yet?,"Yes — as long as the submission form is still open, you can submit even if the deadline has passed. You can no longer submit only after the form has been closed.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
"Can I turn in homework late if I missed the deadline, or is it completely closed after that?","No. There are no late submissions and no individual deadline extensions. If the homework submission form is still open, you can still submit even after the listed deadline has passed, but once the form is closed, it’s completely closed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Do you give one-off deadline extensions for homework in this course?,"No. We don’t give individual deadline extensions, and there are no late submissions once the homework form is closed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"If the homework deadline passed but the submission form is still open, can I still send it in?","Yes. As long as the submission form is still open, you can still submit it even if the deadline has passed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"Will missing a homework hurt my chance to get the certificate, or is the Capstone the only required thing?","No — missing a homework won’t hurt your chance to get the certificate. The Capstone project is the only required part for the certificate, while homework is optional and only affects leaderboard points.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"Does skipping a homework remove me from the leaderboard, or do homework points only affect ranking?",Skipping a homework does **not** remove you from the leaderboard. Homework points **only affect your ranking**; you’ll still appear on the leaderboard with your other submissions.,"No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
"If I enter my real name for the certificate, will that name be visible online or shared with anyone else?",No. The certificate name only appears on your certificate — it isn’t published online or shared with third parties. The public leaderboard uses your separate display name instead.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
What name shows up on the public leaderboard if I fill in my certificate name separately?,"The public leaderboard will show your separate display name, not the certificate name. By default, that’s a random nickname like **“Lucid Elbakyan”** unless you change it in **Edit Course Profile**.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
"Is the certificate name the same as the display name, or are they used in different places?","They are used in different places.

- **Display name**: shown on the **public leaderboard**. It’s the first field in **Edit Course Profile**.
- **Certificate name**: printed only on your **certificate**. It’s the second field in **Edit Course Profile**.

So they do **not** have to be the same.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Where can I change the nickname that appears on the leaderboard versus the name printed on the certificate?,"You can change both in **“Edit Course Profile”**:

- **First field**: your **public nickname/display name** for the **leaderboard**
- **Second field**: your **official name** printed on the **certificate**","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,"Yes. You can keep your real name off the public leaderboard/public profile and still have it on the certificate.

- **Public profile/leaderboard:** use your **first field** display name/nickname.
- **Certificate:** use your **second field** official name.

The certificate name is **not** shown publicly online or shared with third parties.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Why does the course avoid using LangChain at the start?,"The course avoids using LangChain at the start so you first learn the core building blocks yourself: prompting, retrieval, indexing, and evaluation. The idea is to understand what frameworks automate before using them, like learning HTML/CSS/JavaScript before React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What’s the reason we build RAG components ourselves instead of using a framework?,"We build the RAG components ourselves so we can learn the core pieces first: prompting, retrieval, indexing, and evaluation.

The idea is similar to learning HTML, CSS, and JavaScript before using a framework like React or Angular. Frameworks are easier to use well once you understand what they automate.

If you want, I can also explain how this applies specifically to LangChain versus hand-built RAG.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Is there a specific benefit to learning prompting, retrieval, indexing, and evaluation without LangChain?","Yes. The course says the benefit is that you first learn the core pieces yourself — prompting, retrieval, indexing, and evaluation — before using a framework like LangChain. This makes it easier to understand what the framework is automating and to use it well later.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
How does this course justify not relying on LangChain for LLM apps?,"The course says not to rely on LangChain at first because it wants you to learn the core building blocks yourself: prompting, retrieval, indexing, and evaluation. The idea is that, like learning HTML/CSS/JavaScript before using React or Angular, you’ll understand what the framework is automating, so you can use it effectively later.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Should I learn the basic RAG pieces first before using LangChain or similar tools?,"Yes — it’s a good idea to learn the basic RAG pieces first.

The course recommends understanding the core parts yourself first, like:

- prompting
- retrieval
- indexing
- evaluation

That’s similar to learning HTML, CSS, and JavaScript before using React or Angular. Frameworks like LangChain are easier to use well once you understand what they automate.

","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,"You’re seeing that error because your OpenAI API account has **insufficient credits / quota**. There is **no free usage** for the OpenAI API, so `responses.create()` will fail until you add billing credits.

To fix it:

1. Add credits to your account: https://platform.openai.com/settings/organization/billing/overview  
   - Minimum is typically **$5**
2. Make sure you’re using a model available to your account in `responses.create(model='gpt-4o', ...)`
3. If needed, create a new API key after adding credits and update it locally

If the issue persists, it’s still a quota/billing problem, not a code problem.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What does it mean if my OpenAI responses.create command fails with insufficient credits?,"It means your OpenAI account doesn’t have enough credit to complete the request. The error you may see is:

```text
OpenAI API Error: Insufficient credits
```

If you want, I can also help you distinguish this from the OpenRouter 402 / quota issue.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
How can I fix the error I see from OpenAI responses.create about not having enough credits?,"If you’re seeing `OpenAI API Error: Insufficient credits`, the fix is to **add credits to your OpenAI account**.

Steps:
1. Go to your OpenAI billing page and add funds, at least $5.
2. Make sure your API key is valid and updated locally if needed.
3. Re-run your code and, if applicable, use a model available to your account.

If you’re actually using **OpenRouter** through `responses.create`, also make sure to:
- set a **lower `max_output_tokens`**, e.g. `1024`
- confirm your `.env` points to OpenRouter and that your key still has credits

If you want, I can show the exact code change for your setup.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is the responses.create issue in Module 1 RAG caused by my OpenAI account credits?,"Yes — in Module 1 RAG, a `responses.create` error can be caused by insufficient OpenAI API credits / quota.

If you see:

- `OpenAI API Error: Insufficient credits`
- or `RateLimitError: Error code: 429 ... insufficient_quota`

then it means your OpenAI account needs billing credits added.

To fix it:
1. Add credits to your OpenAI account.
2. Make sure you’re using a model available to your account.
3. If needed, create a new API key after adding credits.

If you’re using OpenRouter instead of OpenAI, the issue may be different.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What should I check in my OpenAI account if responses.create returns an insufficient credits error?,"Check your OpenAI API account’s **billing/credits** status. The error usually means you have **insufficient quota/credits**, so you should:

1. Go to your OpenAI billing overview and **add credits** / enable pay-as-you-go.
2. Make sure your **API key** is still valid, and recreate it if needed after adding funds.
3. Verify you’re using a model available to your account.

If you’ve already funded the account and it still fails, I don’t know.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,"You’re likely getting `429 RateLimitError` because it’s not a code bug — it’s an **OpenAI quota/billing issue**.

The context says this specific error usually means:

- **You exceeded your current quota**
- The error type is often `insufficient_quota`
- **There is no free usage of OpenAI’s API**
- You need to **add billing credits** to your account

What to do:

1. Add credits to your OpenAI account billing page
2. Make sure you’re using a model available to your account
3. If needed, create a new API key after adding credits and update it locally

If you’re already on a low quota and just hitting per-minute limits, you can also:
- reduce concurrency
- add retries with backoff
- cache results
- use a cheaper model like `gpt-4o-mini`

But if the error says `insufficient_quota`, then it’s billing, not a code problem.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"Does this mean I’ve hit a rate limit, or is it actually my API quota/billing issue?","It depends on the error you’re seeing:

- If it’s `429 Resource Exhausted`, that usually means you’ve hit the **free-tier quota / rate limit**. In the context, this can happen if you’ve been running the agent or multi-agent flows a lot.
- If you see `insufficient_quota`, that is a **billing issue**, not just a rate limit.

So: **`429 Resource Exhausted` = rate limit/quota**, while **`insufficient_quota` = billing**.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
What do I need to do on the OpenAI side to make the API work again?,"You usually don’t need to do anything special on the OpenAI side. If OpenAI isn’t working, the course suggests switching to another OpenAI-compatible provider by changing:

- `base_url`
- API key
- model name

If you’re using a non-OpenAI provider, make sure you’re using the `chat.completions` API instead of the OpenAI `Responses` API.

If you want, I can help you adjust your code for a specific provider.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"After adding funds, do I need to change the model in responses.create or can I keep using the same one?","You can keep using the same model in `responses.create()`.

After adding funds, the main thing is usually to keep your model and endpoint configuration correct, and in the OpenRouter case also set a reasonable `max_output_tokens` value, for example:

```python
response = client.responses.create(
    model=os.environ[""OPENAI_MODEL""],
    input=message_history,
    max_output_tokens=1024,
)
```

So you do not need to change the model just because you added funds.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
Do I have to create a new API key after I top up my account?,I don't know.,"```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much money do I need to spend to use the OpenAI API for this course?,"Using the OpenAI API for the course should cost very little. You can recharge starting from **$5**, and initial usage is usually **fractions of a cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I have to pay a lot to start using the OpenAI API in the RAG module?,"No, you don’t have to pay a lot. The course says OpenAI API usage for the homework should cost very little, and you can start by adding around $5 if needed. In practice, initial usage is usually fractions of a cent.

If you want, you can also use free or low-cost alternatives instead of OpenAI.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"What’s the minimum I can add to my OpenAI account, and will the course still be cheap to run?","The minimum you can add is **$5**.

Yes — the course should still be **very cheap to run**. The context says usage is usually **fractions of a cent**, so even with the minimum top-up, it should cost very little for the course.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"Is OpenAI API usage in the course expensive, or is it usually just a tiny cost?","It’s usually just a tiny cost. The course notes say OpenAI API usage should cost very little, with initial usage often being **fractions of one cent**. You can also recharge starting from **$5**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
"If I want to follow along with the course, how much should I expect to spend on OpenAI API calls?",Using the OpenAI API for the course should cost very little — usually fractions of a cent at first. You can also recharge starting from $5 if needed.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I actually need to pay for the OpenAI API to finish the homework in this course?,"No — you do **not** need to pay for the OpenAI API to finish the homework.

You can use **free or low-cost alternatives** from the course repo, and the homework is designed so it does **not require a paid service**. If you want, you can also use another provider or even run a model locally.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Is a paid OpenAI subscription required for the LLM Zoomcamp assignments, or can I skip it?","No. A paid OpenAI subscription is not required for the LLM Zoomcamp assignments. You can use other providers or even local models, and the homework is designed so you do not need a paid service. If you want, you can skip OpenAI and use an OpenAI-compatible alternative instead.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
What should I use instead of OpenAI API if I want to avoid paying for this course?,"Use a free or low-cost OpenAI-compatible alternative instead of the OpenAI API. The course says you can use providers like:

- Groq
- OpenRouter
- DeepSeek
- Gemini
- Z.ai
- Mistral

You can also use local models via:

- Ollama
- vLLM
- LM Studio

The course code usually only needs a `base_url`, API key, and model name changed, or no external API at all if you run a model locally. If you want, I can suggest the easiest free option from this list.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Are there any free or cheap alternatives to OpenAI API that are acceptable for the course work?,"Yes. You do **not** have to pay for OpenAI API to complete the course homeworks.

The course says you can use **free or low-cost alternatives**, including OpenAI-compatible providers such as:

- **Groq**
- **OpenRouter**
- **DeepSeek**
- **Gemini**
- **Z.ai**
- **Mistral**

You can also use:

- **Open models via Hugging Face** like **Qwen** or **Llama**
- **Local model serving** with **Ollama**, **vLLM**, or **LM Studio**
- A **GPU rental** if needed

The course repo has a curated list here:
https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives

So yes — free or cheap alternatives are acceptable for course work.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Where can I find the list of OpenAI API alternatives recommended in the course repo?,"The list is in the course repo’s **Awesome LLMs** page:

https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,"The course uses **uv** because it’s **fast and convenient**. It’s an all-in-one tool that can replace **pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine**, so instead of managing multiple tools, you handle Python versions, virtual environments, and dependencies with one command and reproducible lockfiles.

You **don’t have to use uv** — **pip and virtualenv still work fine** — but uv makes setup simpler and faster, which is why the lessons use it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
What makes uv better or easier than the usual Python tooling stack?,"`uv` is better/easier mainly because it’s an all-in-one tool.

Instead of using separate tools like `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, `uv` lets you:

- manage Python versions
- create virtual environments
- install dependencies
- use reproducible lockfiles

It’s also fast and convenient, which makes setup simpler and quicker than the usual Python tooling stack.

You don’t have to use it, though — `pip` and `virtualenv` still work fine.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv in this course, or can I stick with pip and virtualenv?","No — you’re not required to use `uv`. You can stick with `pip` and `virtualenv` if you want.

The course uses `uv` because it’s faster and simpler as an all-in-one tool for managing Python versions, virtual environments, and dependencies, but `pip` and `virtualenv` still work fine.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Is uv mainly for dependency installs, or does it also handle environments and Python versions?","uv is not just for dependency installs. It also manages Python versions and virtual environments, and the course uses it as an all-in-one replacement for tools like `pip`, `virtualenv`, and `pyenv`.

","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Why do the lessons recommend uv when there are already tools like pip, virtualenv, poetry, and pyenv?","The lessons recommend `uv` because it’s fast and convenient, and it can replace several separate tools in one workflow.

From the course context:
- It’s an all-in-one tool that can replace `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`.
- It lets you manage Python versions, virtual environments, and dependencies with one command.
- It also uses reproducible lockfiles.

You do **not** have to use it — `pip` and `virtualenv` still work fine. The course just uses `uv` because it makes setup simpler and faster.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Why does my Jupyter notebook still not see OPENAI_API_KEY, even though I put it in .env?","Make sure you’re loading the `.env` file in the notebook with `python-dotenv` before creating the client:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv
load_dotenv()
```

Also verify that the variable is named exactly `OPENAI_API_KEY` in the `.env` file.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv for loading OPENAI_API_KEY in the notebook?,"Yes — in the course notebook you should use `python-dotenv` to load `OPENAI_API_KEY` from your `.env` file.

Typical steps:

```bash
pip install python-dotenv
```

Then in the notebook:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also make sure your `.env` file contains exactly:

```env
OPENAI_API_KEY=sk-...
```

If `dotenv` is not recognized, install `python-dotenv` first.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,"Call `load_dotenv()` **before** you create the OpenAI client, in your notebook setup:

```python
from dotenv import load_dotenv

load_dotenv()

client = OpenAI(...)
```

So it should happen near the top of the notebook, before `OpenAI(...)` is called.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What if the API key is in .env but the notebook says it can’t find it?,"Make sure the notebook actually loads the `.env` file before you access the variable.

```python
from dotenv import load_dotenv
load_dotenv()
```

Also verify that the variable name in `.env` is exactly `OPENAI_API_KEY`.

If it still can’t find it, check that `python-dotenv` is installed:

```bash
pip install python-dotenv
```

","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Could a wrong variable name in .env be the reason OPENAI_API_KEY is missing?,"Yes — if the variable name in your `.env` file is not exactly `OPENAI_API_KEY`, that can be the reason it appears missing.

Make sure you:

- load the `.env` file with `python-dotenv`
- use:

```python
from dotenv import load_dotenv
load_dotenv()
```

- and define the key exactly like this in `.env`:

```bash
OPENAI_API_KEY=sk-...
```

If the name is different, `os.getenv(""OPENAI_API_KEY"")` won’t find it.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
